id,name,surface_area,land_area
ABW,Aruba,180,180
AFG,Afghanistan,652860,652860
AGO,Angola,1246700,1246700
ALB,Albania,28750,27400
AND,Andorra,470,470
ARE,United Arab Emirates,83600,71020
ARG,Argentina,2780400,2736690
ARM,Armenia,29740,28470
ASM,American Samoa,200,200
ATG,Antigua and Barbuda,440,440
AUS,Australia,7741220,7692020
AUT,Austria,83879,82523
AZE,Azerbaijan,86600,82670
BDI,Burundi,27830,25680
BEL,Belgium,30530,30280
BEN,Benin,114760,112760
BFA,Burkina Faso,274220,273600
BGD,Bangladesh,147630,130170
BGR,Bulgaria,111000,108560
BHR,Bahrain,778,778
BHS,"Bahamas, The",13880,10010
BIH,Bosnia and Herzegovina,51210,51200
BLR,Belarus,207600,202988
BLZ,Belize,22970,22810
BMU,Bermuda,4290,54
BOL,Bolivia,1098580,1083300
BRA,Brazil,8515770,8358140
BRB,Barbados,430,430
BRN,Brunei Darussalam,5770,5270
BTN,Bhutan,38394,38144
BWA,Botswana,581730,566730
CAF,Central African Republic,622980,622980
CAN,Canada,9984670,9093510
CHE,Switzerland,41290,39516
CHI,Channel Islands,198,198
CHL,Chile,756700,743532
CHN,China,9562910,9388210
CIV,Cote d'Ivoire,322460,318000
CMR,Cameroon,475440,472710
COD,"Congo, Dem. Rep.",2344860,2267050
COG,"Congo, Rep.",342000,341500
COL,Colombia,1141749,1109500
COM,Comoros,1861,1861
CPV,Cabo Verde,4030,4030
CRI,Costa Rica,51100,51060
CUB,Cuba,109880,104020
CUW,Curacao,444,444
CYM,Cayman Islands,260,240
CYP,Cyprus,9250,9240
CZE,Czech Republic,78870,77220
DEU,Germany,357580,349360
DJI,Djibouti,23200,23180
DMA,Dominica,750,750
DNK,Denmark,42920,41990
DOM,Dominican Republic,48670,48310
DZA,Algeria,2381740,2381740
ECU,Ecuador,256370,248360
EGY,"Egypt, Arab Rep.",1001450,995450
ERI,Eritrea,117600,101000
ESP,Spain,505935,499564
EST,Estonia,45340,43470
ETH,Ethiopia,1104300,1000000
FIN,Finland,338450,303910
FJI,Fiji,18270,18270
FRA,France,549087,547557
FRO,Faroe Islands,1396,1396
FSM,"Micronesia, Fed. Sts.",700,700
GAB,Gabon,267670,257670
GBR,United Kingdom,243610,241930
GEO,Georgia,69700,69490
GHA,Ghana,238540,227540
GIB,Gibraltar,10,10
GIN,Guinea,245860,245720
GMB,"Gambia, The",11300,10120
GNB,Guinea-Bissau,36130,28120
GNQ,Equatorial Guinea,28050,28050
GRC,Greece,131960,128900
GRD,Grenada,340,340
GRL,Greenland,410450,410450
GTM,Guatemala,108890,107160
GUM,Guam,540,540
GUY,Guyana,214970,196850
HKG,"Hong Kong SAR, China",1110,1050
HND,Honduras,112490,111890
HRV,Croatia,56590,55960
HTI,Haiti,27750,27560
HUN,Hungary,93030,90530
IDN,Indonesia,1913580,1811570
IMN,Isle of Man,570,570
IND,India,3287259,2973190
IRL,Ireland,70280,68890
IRN,"Iran, Islamic Rep.",1745150,1628760
IRQ,Iraq,435052,434128
ISL,Iceland,103000,100250
ISR,Israel,22070,21640
ITA,Italy,301340,294140
JAM,Jamaica,10990,10830
JOR,Jordan,89320,88780
JPN,Japan,377970,364560
KAZ,Kazakhstan,2724902,2699700
KEN,Kenya,580370,569140
KGZ,Kyrgyz Republic,199950,191800
KHM,Cambodia,181040,176520
KIR,Kiribati,810,810
KNA,St. Kitts and Nevis,260,260
KOR,"Korea, Rep.",100339,97489
KWT,Kuwait,17820,17820
LAO,Lao PDR,236800,230800
LBN,Lebanon,10450,10230
LBR,Liberia,111370,96320
LBY,Libya,1759540,1759540
LCA,St. Lucia,620,610
LIE,Liechtenstein,160,160
LKA,Sri Lanka,65610,62710
LSO,Lesotho,30360,30360
LTU,Lithuania,65286,62642
LUX,Luxembourg,2590,2430
LVA,Latvia,64490,62180
MAC,"Macao SAR, China",30,30
MAF,St. Martin (French part),54,54
MAR,Morocco,446550,446300
MCO,Monaco,2,2
MDA,Moldova,33850,32890
MDG,Madagascar,587295,581800
MDV,Maldives,300,300
MEX,Mexico,1964375,1943950
MHL,Marshall Islands,180,180
MKD,North Macedonia,25710,25220
MLI,Mali,1240190,1220190
MLT,Malta,320,320
MMR,Myanmar,676590,653080
MNE,Montenegro,13810,13450
MNG,Mongolia,1564120,1553560
MNP,Northern Mariana Islands,460,460
MOZ,Mozambique,786380,786380
MRT,Mauritania,1030700,1030700
MUS,Mauritius,2040,2030
MWI,Malawi,118480,94280
MYS,Malaysia,330345,328550
NAM,Namibia,824290,823290
NCL,New Caledonia,18580,18280
NER,Niger,1267000,1266700
NGA,Nigeria,923770,910770
NIC,Nicaragua,130370,120340
NLD,Netherlands,41540,33690
NOR,Norway,625217,365123
NPL,Nepal,147180,143350
NRU,Nauru,20,20
NZL,New Zealand,267710,263310
OMN,Oman,309500,309500
PAK,Pakistan,796100,770880
PAN,Panama,75420,74340
PER,Peru,1285220,1280000
PHL,Philippines,300000,298170
PLW,Palau,460,460
PNG,Papua New Guinea,462840,452860
POL,Poland,312680,306190
PRI,Puerto Rico,8870,8870
PRK,"Korea, Dem. Peopleâ€™s Rep.",120540,120410
PRT,Portugal,92226,91606
PRY,Paraguay,406752,397300
PSE,West Bank and Gaza,6020,6020
PYF,French Polynesia,4000,3660
QAT,Qatar,11610,11610
ROU,Romania,238400,230080
RUS,Russian Federation,17098250,16376870
RWA,Rwanda,26340,24670
SAU,Saudi Arabia,2149690,2149690
SEN,Senegal,196710,192530
SGP,Singapore,719,709
SLB,Solomon Islands,28900,27990
SLE,Sierra Leone,72300,72180
SLV,El Salvador,21040,20720
SMR,San Marino,60,60
SOM,Somalia,637660,627340
SRB,Serbia,88360,87460
STP,Sao Tome and Principe,960,960
SUR,Suriname,163820,156000
SVK,Slovak Republic,49030,48080
SVN,Slovenia,20675,20142
SWE,Sweden,447430,407310
SWZ,Eswatini,17360,17200
SXM,Sint Maarten (Dutch part),34,34
SYC,Seychelles,460,460
SYR,Syrian Arab Republic,185180,183630
TCA,Turks and Caicos Islands,950,950
TCD,Chad,1284000,1259200
TGO,Togo,56790,54390
THA,Thailand,513120,510890
TJK,Tajikistan,141380,138790
TKM,Turkmenistan,488100,469930
TLS,Timor-Leste,14870,14870
TON,Tonga,750,720
TTO,Trinidad and Tobago,5130,5130
TUN,Tunisia,163610,155360
TUR,Turkey,785350,769630
TUV,Tuvalu,30,30
TZA,Tanzania,947300,885800
UGA,Uganda,241550,200520
UKR,Ukraine,603550,579290
URY,Uruguay,176220,175020
USA,United States,9831510,9147420
UZB,Uzbekistan,447400,425400
VCT,St. Vincent and the Grenadines,390,390
VEN,"Venezuela, RB",912050,882050
VGB,British Virgin Islands,150,150
VIR,Virgin Islands (U.S.),350,350
VNM,Vietnam,331230,310070
VUT,Vanuatu,12190,12190
WSM,Samoa,2840,2830
XKX,Kosovo,10887,10887
YEM,"Yemen, Rep.",527970,527970
ZAF,South Africa,1219090,1213090
ZMB,Zambia,752610,743390
ZWE,Zimbabwe,390760,386850
